Epoch 1 — Train Loss: 0.0783, Val Loss: 148.3166, LR: 0.000500
Epoch 2 — Train Loss: 0.0491, Val Loss: 139.3200, LR: 0.000500
Epoch 3 — Train Loss: 0.0470, Val Loss: 138.6377, LR: 0.000500
Epoch 4 — Train Loss: 0.0463, Val Loss: 136.7707, LR: 0.000500
Epoch 5 — Train Loss: 0.0458, Val Loss: 134.9098, LR: 0.000500
Epoch 6 — Train Loss: 0.0458, Val Loss: 134.8194, LR: 0.000500
Epoch 7 — Train Loss: 0.0455, Val Loss: 135.8759, LR: 0.000500
Epoch 8 — Train Loss: 0.0455, Val Loss: 138.1186, LR: 0.000500
Epoch 9 — Train Loss: 0.0455, Val Loss: 134.3982, LR: 0.000500
Epoch 10 — Train Loss: 0.0455, Val Loss: 133.7496, LR: 0.000500
Epoch 11 — Train Loss: 0.0455, Val Loss: 134.1471, LR: 0.000500
Epoch 12 — Train Loss: 0.0454, Val Loss: 137.5415, LR: 0.000500
Epoch 13 — Train Loss: 0.0454, Val Loss: 133.5050, LR: 0.000500
Epoch 14 — Train Loss: 0.0455, Val Loss: 133.2810, LR: 0.000500
Epoch 15 — Train Loss: 0.0454, Val Loss: 134.7243, LR: 0.000500
Epoch 16 — Train Loss: 0.0454, Val Loss: 130.6566, LR: 0.000500
Epoch 17 — Train Loss: 0.0454, Val Loss: 135.4150, LR: 0.000500
Epoch 18 — Train Loss: 0.0454, Val Loss: 134.9373, LR: 0.000500
Epoch 19 — Train Loss: 0.0454, Val Loss: 135.8811, LR: 0.000500
Epoch 20 — Train Loss: 0.0452, Val Loss: 138.5734, LR: 0.000500
Epoch 21 — Train Loss: 0.0453, Val Loss: 132.6885, LR: 0.000500
Epoch 22 — Train Loss: 0.0454, Val Loss: 135.5155, LR: 0.000250
Epoch 23 — Train Loss: 0.0443, Val Loss: 129.9703, LR: 0.000250
Epoch 24 — Train Loss: 0.0442, Val Loss: 129.2701, LR: 0.000250
Epoch 25 — Train Loss: 0.0442, Val Loss: 131.0340, LR: 0.000250
Epoch 26 — Train Loss: 0.0442, Val Loss: 130.3767, LR: 0.000250
Epoch 27 — Train Loss: 0.0442, Val Loss: 131.3178, LR: 0.000250
Epoch 28 — Train Loss: 0.0441, Val Loss: 129.6364, LR: 0.000250
Epoch 29 — Train Loss: 0.0442, Val Loss: 134.0619, LR: 0.000250
Epoch 30 — Train Loss: 0.0442, Val Loss: 133.2550, LR: 0.000125
Epoch 31 — Train Loss: 0.0436, Val Loss: 128.0442, LR: 0.000125
Epoch 32 — Train Loss: 0.0434, Val Loss: 129.3741, LR: 0.000125
Epoch 33 — Train Loss: 0.0434, Val Loss: 130.1513, LR: 0.000125
Epoch 34 — Train Loss: 0.0434, Val Loss: 129.8207, LR: 0.000125
Epoch 35 — Train Loss: 0.0434, Val Loss: 128.6712, LR: 0.000125
Epoch 36 — Train Loss: 0.0434, Val Loss: 128.3526, LR: 0.000125
Epoch 37 — Train Loss: 0.0434, Val Loss: 127.6639, LR: 0.000125
Epoch 38 — Train Loss: 0.0435, Val Loss: 128.3144, LR: 0.000125
Epoch 39 — Train Loss: 0.0433, Val Loss: 128.7496, LR: 0.000125
Epoch 40 — Train Loss: 0.0434, Val Loss: 130.1475, LR: 0.000125
Epoch 41 — Train Loss: 0.0433, Val Loss: 128.8712, LR: 0.000125
Epoch 42 — Train Loss: 0.0433, Val Loss: 128.1552, LR: 0.000125
Epoch 43 — Train Loss: 0.0433, Val Loss: 128.6367, LR: 0.000063
Epoch 44 — Train Loss: 0.0429, Val Loss: 127.1886, LR: 0.000063
Epoch 45 — Train Loss: 0.0428, Val Loss: 127.1879, LR: 0.000063
Epoch 46 — Train Loss: 0.0429, Val Loss: 127.2221, LR: 0.000063
Epoch 47 — Train Loss: 0.0428, Val Loss: 126.8721, LR: 0.000063
Epoch 48 — Train Loss: 0.0428, Val Loss: 126.8759, LR: 0.000063
Epoch 49 — Train Loss: 0.0429, Val Loss: 126.8574, LR: 0.000063
Epoch 50 — Train Loss: 0.0428, Val Loss: 128.2851, LR: 0.000063
