Epoch 1 — Train Loss: 0.4317, Val Loss: 589.3323, LR: 0.000100
Epoch 2 — Train Loss: 0.1250, Val Loss: 190.4259, LR: 0.000100
Epoch 3 — Train Loss: 0.0894, Val Loss: 157.2018, LR: 0.000100
Epoch 4 — Train Loss: 0.0733, Val Loss: 144.2029, LR: 0.000100
Epoch 5 — Train Loss: 0.0628, Val Loss: 116.7590, LR: 0.000100
Epoch 6 — Train Loss: 0.0579, Val Loss: 105.6040, LR: 0.000100
Epoch 7 — Train Loss: 0.0558, Val Loss: 99.7131, LR: 0.000100
Epoch 8 — Train Loss: 0.0552, Val Loss: 103.2411, LR: 0.000100
Epoch 9 — Train Loss: 0.0550, Val Loss: 102.5318, LR: 0.000100
Epoch 10 — Train Loss: 0.0546, Val Loss: 102.3475, LR: 0.000100
Epoch 11 — Train Loss: 0.0544, Val Loss: 98.0591, LR: 0.000100
Epoch 12 — Train Loss: 0.0540, Val Loss: 95.3524, LR: 0.000100
Epoch 13 — Train Loss: 0.0537, Val Loss: 92.0904, LR: 0.000100
Epoch 14 — Train Loss: 0.0536, Val Loss: 92.6345, LR: 0.000100
Epoch 15 — Train Loss: 0.0533, Val Loss: 91.3078, LR: 0.000100
Epoch 16 — Train Loss: 0.0532, Val Loss: 89.8930, LR: 0.000100
Epoch 17 — Train Loss: 0.0532, Val Loss: 90.0271, LR: 0.000100
Epoch 18 — Train Loss: 0.0530, Val Loss: 89.3127, LR: 0.000100
Epoch 19 — Train Loss: 0.0527, Val Loss: 85.5059, LR: 0.000100
Epoch 20 — Train Loss: 0.0528, Val Loss: 89.1022, LR: 0.000100
