Epoch 1 — Train Loss: 0.3647, Val Loss: 529.8608, LR: 0.000100
Epoch 2 — Train Loss: 0.1188, Val Loss: 173.3111, LR: 0.000100
Epoch 3 — Train Loss: 0.0773, Val Loss: 121.3350, LR: 0.000100
Epoch 4 — Train Loss: 0.0589, Val Loss: 101.6332, LR: 0.000100
Epoch 5 — Train Loss: 0.0526, Val Loss: 94.6297, LR: 0.000100
Epoch 6 — Train Loss: 0.0508, Val Loss: 91.0014, LR: 0.000100
Epoch 7 — Train Loss: 0.0502, Val Loss: 86.5393, LR: 0.000100
Epoch 8 — Train Loss: 0.0496, Val Loss: 87.3784, LR: 0.000100
Epoch 9 — Train Loss: 0.0493, Val Loss: 82.5116, LR: 0.000100
Epoch 10 — Train Loss: 0.0489, Val Loss: 84.3081, LR: 0.000100
Epoch 11 — Train Loss: 0.0487, Val Loss: 81.4309, LR: 0.000100
Epoch 12 — Train Loss: 0.0485, Val Loss: 82.1122, LR: 0.000100
Epoch 13 — Train Loss: 0.0484, Val Loss: 80.4911, LR: 0.000100
Epoch 14 — Train Loss: 0.0484, Val Loss: 84.0497, LR: 0.000100
Epoch 15 — Train Loss: 0.0482, Val Loss: 82.3046, LR: 0.000100
Epoch 16 — Train Loss: 0.0482, Val Loss: 79.9609, LR: 0.000100
Epoch 17 — Train Loss: 0.0480, Val Loss: 80.5663, LR: 0.000100
Epoch 18 — Train Loss: 0.0480, Val Loss: 82.4753, LR: 0.000100
Epoch 19 — Train Loss: 0.0478, Val Loss: 82.0316, LR: 0.000100
Epoch 20 — Train Loss: 0.0479, Val Loss: 81.8000, LR: 0.000100
Epoch 21 — Train Loss: 0.0479, Val Loss: 80.5845, LR: 0.000100
Epoch 22 — Train Loss: 0.0478, Val Loss: 80.7551, LR: 0.000050
Epoch 23 — Train Loss: 0.0471, Val Loss: 81.2371, LR: 0.000050
Epoch 24 — Train Loss: 0.0470, Val Loss: 81.2753, LR: 0.000050
Epoch 25 — Train Loss: 0.0469, Val Loss: 81.0859, LR: 0.000050
Epoch 26 — Train Loss: 0.0470, Val Loss: 83.8417, LR: 0.000050
Epoch 27 — Train Loss: 0.0469, Val Loss: 82.1571, LR: 0.000050
Epoch 28 — Train Loss: 0.0469, Val Loss: 82.1655, LR: 0.000025
Epoch 29 — Train Loss: 0.0465, Val Loss: 78.5061, LR: 0.000025
Epoch 30 — Train Loss: 0.0465, Val Loss: 80.2025, LR: 0.000025
Epoch 31 — Train Loss: 0.0464, Val Loss: 80.9596, LR: 0.000025
Epoch 32 — Train Loss: 0.0464, Val Loss: 81.4957, LR: 0.000025
Epoch 33 — Train Loss: 0.0463, Val Loss: 80.8684, LR: 0.000025
Epoch 34 — Train Loss: 0.0464, Val Loss: 80.6191, LR: 0.000025
Epoch 35 — Train Loss: 0.0464, Val Loss: 80.4602, LR: 0.000013
Epoch 36 — Train Loss: 0.0463, Val Loss: 79.9136, LR: 0.000013
Epoch 37 — Train Loss: 0.0461, Val Loss: 80.5403, LR: 0.000013
Epoch 38 — Train Loss: 0.0461, Val Loss: 79.2909, LR: 0.000013
Epoch 39 — Train Loss: 0.0461, Val Loss: 80.1820, LR: 0.000013
Epoch 40 — Train Loss: 0.0460, Val Loss: 81.3510, LR: 0.000013
Epoch 41 — Train Loss: 0.0460, Val Loss: 80.9628, LR: 0.000006
Epoch 42 — Train Loss: 0.0460, Val Loss: 79.8994, LR: 0.000006
