Epoch 1 — Train Loss: 13.8829, Val Loss: 249.4460, LR: 0.000100
Epoch 2 — Train Loss: 0.1317, Val Loss: 164.3917, LR: 0.000100
Epoch 3 — Train Loss: 0.0900, Val Loss: 138.3689, LR: 0.000100
Epoch 4 — Train Loss: 0.0729, Val Loss: 81.5192, LR: 0.000100
Epoch 5 — Train Loss: 0.0620, Val Loss: 79.4560, LR: 0.000100
Epoch 6 — Train Loss: 0.0552, Val Loss: 72.6482, LR: 0.000100
Epoch 7 — Train Loss: 0.0502, Val Loss: 79.8204, LR: 0.000100
Epoch 8 — Train Loss: 0.0472, Val Loss: 88.9291, LR: 0.000100
Epoch 9 — Train Loss: 0.0454, Val Loss: 76.1906, LR: 0.000100
Epoch 10 — Train Loss: 0.0443, Val Loss: 89.2811, LR: 0.000100
Epoch 11 — Train Loss: 0.0437, Val Loss: 91.5418, LR: 0.000100
Epoch 12 — Train Loss: 0.0435, Val Loss: 84.5623, LR: 0.000050
Epoch 13 — Train Loss: 0.0423, Val Loss: 87.5159, LR: 0.000050
Epoch 14 — Train Loss: 0.0421, Val Loss: 79.5040, LR: 0.000050
Epoch 15 — Train Loss: 0.0419, Val Loss: 88.1711, LR: 0.000050
Epoch 16 — Train Loss: 0.0418, Val Loss: 79.7486, LR: 0.000050
Epoch 17 — Train Loss: 0.0417, Val Loss: 89.6863, LR: 0.000050
Epoch 18 — Train Loss: 0.0417, Val Loss: 88.1589, LR: 0.000025
Epoch 19 — Train Loss: 0.0411, Val Loss: 81.8971, LR: 0.000025
Epoch 20 — Train Loss: 0.0410, Val Loss: 87.4674, LR: 0.000025
