Epoch 1 — Train Loss: 0.0835, Val Loss: 144.8753, LR: 0.000100
Epoch 2 — Train Loss: 0.0570, Val Loss: 143.5900, LR: 0.000100
Epoch 3 — Train Loss: 0.0515, Val Loss: 137.6058, LR: 0.000100
Epoch 4 — Train Loss: 0.0486, Val Loss: 132.5701, LR: 0.000100
Epoch 5 — Train Loss: 0.0467, Val Loss: 131.9463, LR: 0.000100
Epoch 6 — Train Loss: 0.0455, Val Loss: 132.0601, LR: 0.000100
Epoch 7 — Train Loss: 0.0446, Val Loss: 133.3045, LR: 0.000100
Epoch 8 — Train Loss: 0.0440, Val Loss: 130.4105, LR: 0.000100
Epoch 9 — Train Loss: 0.0436, Val Loss: 128.8034, LR: 0.000100
Epoch 10 — Train Loss: 0.0432, Val Loss: 132.4453, LR: 0.000100
Epoch 11 — Train Loss: 0.0429, Val Loss: 128.9800, LR: 0.000100
Epoch 12 — Train Loss: 0.0427, Val Loss: 128.8495, LR: 0.000100
Epoch 13 — Train Loss: 0.0425, Val Loss: 130.7724, LR: 0.000100
Epoch 14 — Train Loss: 0.0424, Val Loss: 128.9961, LR: 0.000100
Epoch 15 — Train Loss: 0.0423, Val Loss: 128.6038, LR: 0.000100
Epoch 16 — Train Loss: 0.0422, Val Loss: 128.2618, LR: 0.000100
Epoch 17 — Train Loss: 0.0420, Val Loss: 127.3420, LR: 0.000100
Epoch 18 — Train Loss: 0.0420, Val Loss: 127.9093, LR: 0.000100
Epoch 19 — Train Loss: 0.0420, Val Loss: 129.6722, LR: 0.000100
Epoch 20 — Train Loss: 0.0420, Val Loss: 129.2154, LR: 0.000100
Epoch 21 — Train Loss: 0.0419, Val Loss: 130.6732, LR: 0.000100
Epoch 22 — Train Loss: 0.0419, Val Loss: 130.5409, LR: 0.000100
Epoch 23 — Train Loss: 0.0419, Val Loss: 128.6174, LR: 0.000050
Epoch 24 — Train Loss: 0.0412, Val Loss: 126.3910, LR: 0.000050
Epoch 25 — Train Loss: 0.0411, Val Loss: 126.5570, LR: 0.000050
Epoch 26 — Train Loss: 0.0411, Val Loss: 126.2984, LR: 0.000050
Epoch 27 — Train Loss: 0.0411, Val Loss: 126.1077, LR: 0.000050
Epoch 28 — Train Loss: 0.0411, Val Loss: 126.3583, LR: 0.000050
Epoch 29 — Train Loss: 0.0410, Val Loss: 126.5227, LR: 0.000050
Epoch 30 — Train Loss: 0.0410, Val Loss: 126.7233, LR: 0.000050
Epoch 31 — Train Loss: 0.0410, Val Loss: 127.5828, LR: 0.000050
Epoch 32 — Train Loss: 0.0410, Val Loss: 126.2118, LR: 0.000050
Epoch 33 — Train Loss: 0.0410, Val Loss: 126.2768, LR: 0.000025
Epoch 34 — Train Loss: 0.0406, Val Loss: 125.7561, LR: 0.000025
Epoch 35 — Train Loss: 0.0405, Val Loss: 125.0027, LR: 0.000025
Epoch 36 — Train Loss: 0.0404, Val Loss: 125.6246, LR: 0.000025
Epoch 37 — Train Loss: 0.0404, Val Loss: 124.6224, LR: 0.000025
Epoch 38 — Train Loss: 0.0404, Val Loss: 124.9589, LR: 0.000025
Epoch 39 — Train Loss: 0.0404, Val Loss: 125.1921, LR: 0.000025
Epoch 40 — Train Loss: 0.0404, Val Loss: 125.3479, LR: 0.000025
Epoch 41 — Train Loss: 0.0404, Val Loss: 125.4992, LR: 0.000025
Epoch 42 — Train Loss: 0.0404, Val Loss: 124.6719, LR: 0.000025
Epoch 43 — Train Loss: 0.0404, Val Loss: 125.3042, LR: 0.000013
Epoch 44 — Train Loss: 0.0402, Val Loss: 124.9271, LR: 0.000013
Epoch 45 — Train Loss: 0.0401, Val Loss: 124.3405, LR: 0.000013
Epoch 46 — Train Loss: 0.0402, Val Loss: 124.7171, LR: 0.000013
Epoch 47 — Train Loss: 0.0401, Val Loss: 124.0643, LR: 0.000013
Epoch 48 — Train Loss: 0.0401, Val Loss: 125.0291, LR: 0.000013
Epoch 49 — Train Loss: 0.0400, Val Loss: 124.1756, LR: 0.000013
Epoch 50 — Train Loss: 0.0401, Val Loss: 125.1238, LR: 0.000013
Epoch 51 — Train Loss: 0.0400, Val Loss: 125.2976, LR: 0.000013
Epoch 52 — Train Loss: 0.0400, Val Loss: 125.0336, LR: 0.000013
Epoch 53 — Train Loss: 0.0400, Val Loss: 124.6040, LR: 0.000006
Epoch 54 — Train Loss: 0.0399, Val Loss: 124.1313, LR: 0.000006
Epoch 55 — Train Loss: 0.0398, Val Loss: 124.0770, LR: 0.000006
Epoch 56 — Train Loss: 0.0399, Val Loss: 124.5749, LR: 0.000006
Epoch 57 — Train Loss: 0.0398, Val Loss: 124.0941, LR: 0.000006
Epoch 58 — Train Loss: 0.0398, Val Loss: 124.3659, LR: 0.000006
Epoch 59 — Train Loss: 0.0397, Val Loss: 123.9592, LR: 0.000006
Epoch 60 — Train Loss: 0.0398, Val Loss: 123.8075, LR: 0.000006
Epoch 61 — Train Loss: 0.0399, Val Loss: 123.8470, LR: 0.000006
Epoch 62 — Train Loss: 0.0398, Val Loss: 123.9950, LR: 0.000006
Epoch 63 — Train Loss: 0.0398, Val Loss: 123.8541, LR: 0.000006
Epoch 64 — Train Loss: 0.0398, Val Loss: 123.6432, LR: 0.000006
Epoch 65 — Train Loss: 0.0397, Val Loss: 124.1498, LR: 0.000006
Epoch 66 — Train Loss: 0.0397, Val Loss: 123.9372, LR: 0.000006
Epoch 67 — Train Loss: 0.0398, Val Loss: 123.6415, LR: 0.000006
Epoch 68 — Train Loss: 0.0398, Val Loss: 124.2112, LR: 0.000006
Epoch 69 — Train Loss: 0.0397, Val Loss: 123.9730, LR: 0.000006
Epoch 70 — Train Loss: 0.0398, Val Loss: 123.5715, LR: 0.000006
Epoch 71 — Train Loss: 0.0397, Val Loss: 124.0117, LR: 0.000006
Epoch 72 — Train Loss: 0.0398, Val Loss: 123.9384, LR: 0.000006
Epoch 73 — Train Loss: 0.0398, Val Loss: 123.7915, LR: 0.000006
Epoch 74 — Train Loss: 0.0398, Val Loss: 123.5491, LR: 0.000006
Epoch 75 — Train Loss: 0.0397, Val Loss: 123.9111, LR: 0.000006
Epoch 76 — Train Loss: 0.0397, Val Loss: 123.7835, LR: 0.000006
Epoch 77 — Train Loss: 0.0397, Val Loss: 123.8860, LR: 0.000006
Epoch 78 — Train Loss: 0.0397, Val Loss: 123.9379, LR: 0.000006
Epoch 79 — Train Loss: 0.0397, Val Loss: 124.0107, LR: 0.000006
Epoch 80 — Train Loss: 0.0397, Val Loss: 124.0620, LR: 0.000003
Epoch 81 — Train Loss: 0.0396, Val Loss: 123.8708, LR: 0.000003
Epoch 82 — Train Loss: 0.0396, Val Loss: 123.6484, LR: 0.000003
Epoch 83 — Train Loss: 0.0397, Val Loss: 123.7484, LR: 0.000003
Epoch 84 — Train Loss: 0.0396, Val Loss: 123.8014, LR: 0.000003
Epoch 85 — Train Loss: 0.0396, Val Loss: 123.4447, LR: 0.000003
Epoch 86 — Train Loss: 0.0396, Val Loss: 124.1390, LR: 0.000003
Epoch 87 — Train Loss: 0.0396, Val Loss: 123.4201, LR: 0.000003
Epoch 88 — Train Loss: 0.0396, Val Loss: 123.6186, LR: 0.000003
Epoch 89 — Train Loss: 0.0396, Val Loss: 123.5876, LR: 0.000003
Epoch 90 — Train Loss: 0.0396, Val Loss: 123.6113, LR: 0.000003
Epoch 91 — Train Loss: 0.0395, Val Loss: 123.8426, LR: 0.000003
Epoch 92 — Train Loss: 0.0395, Val Loss: 123.5059, LR: 0.000003
Epoch 93 — Train Loss: 0.0396, Val Loss: 123.9289, LR: 0.000002
Epoch 94 — Train Loss: 0.0394, Val Loss: 123.6151, LR: 0.000002
Epoch 95 — Train Loss: 0.0396, Val Loss: 123.6761, LR: 0.000002
Epoch 96 — Train Loss: 0.0395, Val Loss: 123.5621, LR: 0.000002
Epoch 97 — Train Loss: 0.0396, Val Loss: 123.8116, LR: 0.000002
Epoch 98 — Train Loss: 0.0395, Val Loss: 123.7052, LR: 0.000002
Epoch 99 — Train Loss: 0.0395, Val Loss: 123.3326, LR: 0.000002
Epoch 100 — Train Loss: 0.0394, Val Loss: 123.5838, LR: 0.000002

model_save_path: savedmodels/MLP_Layers_8_InputDim256_MaxDim_4096_Epochs_100_Batch_32.pth
