Epoch 1 — Train Loss: 2.9960, Val Loss: 5230.4282, LR: 0.000100
Epoch 2 — Train Loss: 0.4540, Val Loss: 171.4741, LR: 0.000100
Epoch 3 — Train Loss: 0.0852, Val Loss: 173.4923, LR: 0.000100
Epoch 4 — Train Loss: 0.0716, Val Loss: 168.8162, LR: 0.000100
Epoch 5 — Train Loss: 0.0698, Val Loss: 179.7651, LR: 0.000100
Epoch 6 — Train Loss: 0.0692, Val Loss: 159.6427, LR: 0.000100
Epoch 7 — Train Loss: 0.0691, Val Loss: 164.1961, LR: 0.000100
Epoch 8 — Train Loss: 0.0688, Val Loss: 167.2622, LR: 0.000100
Epoch 9 — Train Loss: 0.0687, Val Loss: 180.7188, LR: 0.000100
Epoch 10 — Train Loss: 0.0685, Val Loss: 168.8926, LR: 0.000100
Epoch 11 — Train Loss: 0.0683, Val Loss: 161.1798, LR: 0.000100
Epoch 12 — Train Loss: 0.0683, Val Loss: 157.4100, LR: 0.000100
Epoch 13 — Train Loss: 0.0679, Val Loss: 161.0465, LR: 0.000100
Epoch 14 — Train Loss: 0.0681, Val Loss: 161.0604, LR: 0.000100
Epoch 15 — Train Loss: 0.0678, Val Loss: 159.9832, LR: 0.000100
Epoch 16 — Train Loss: 0.0679, Val Loss: 168.8409, LR: 0.000100
Epoch 17 — Train Loss: 0.0678, Val Loss: 157.1549, LR: 0.000100
Epoch 18 — Train Loss: 0.0677, Val Loss: 166.0370, LR: 0.000100
Epoch 19 — Train Loss: 0.0679, Val Loss: 166.5161, LR: 0.000100
Epoch 20 — Train Loss: 0.0677, Val Loss: 162.6186, LR: 0.000100
Epoch 21 — Train Loss: 0.0678, Val Loss: 162.1100, LR: 0.000100
Epoch 22 — Train Loss: 0.0676, Val Loss: 170.3146, LR: 0.000100
Epoch 23 — Train Loss: 0.0678, Val Loss: 170.2508, LR: 0.000050
Epoch 24 — Train Loss: 0.0670, Val Loss: 156.9906, LR: 0.000050
Epoch 25 — Train Loss: 0.0670, Val Loss: 161.5159, LR: 0.000050
Epoch 26 — Train Loss: 0.0672, Val Loss: 168.8355, LR: 0.000050
Epoch 27 — Train Loss: 0.0671, Val Loss: 165.6003, LR: 0.000050
Epoch 28 — Train Loss: 0.0670, Val Loss: 163.0927, LR: 0.000050
Epoch 29 — Train Loss: 0.0668, Val Loss: 163.4319, LR: 0.000050
Epoch 30 — Train Loss: 0.0669, Val Loss: 156.5172, LR: 0.000050
Epoch 31 — Train Loss: 0.0669, Val Loss: 160.8842, LR: 0.000050
Epoch 32 — Train Loss: 0.0668, Val Loss: 164.4123, LR: 0.000050
Epoch 33 — Train Loss: 0.0671, Val Loss: 161.5526, LR: 0.000050
Epoch 34 — Train Loss: 0.0670, Val Loss: 163.4975, LR: 0.000050
Epoch 35 — Train Loss: 0.0670, Val Loss: 159.3496, LR: 0.000050
Epoch 36 — Train Loss: 0.0669, Val Loss: 166.2983, LR: 0.000025
Epoch 37 — Train Loss: 0.0666, Val Loss: 160.1965, LR: 0.000025
Epoch 38 — Train Loss: 0.0664, Val Loss: 158.1805, LR: 0.000025
Epoch 39 — Train Loss: 0.0666, Val Loss: 160.8885, LR: 0.000025
Epoch 40 — Train Loss: 0.0666, Val Loss: 158.6041, LR: 0.000025
Epoch 41 — Train Loss: 0.0663, Val Loss: 157.8798, LR: 0.000025
Epoch 42 — Train Loss: 0.0664, Val Loss: 158.3231, LR: 0.000013
Epoch 43 — Train Loss: 0.0664, Val Loss: 157.2046, LR: 0.000013
Epoch 44 — Train Loss: 0.0660, Val Loss: 158.6350, LR: 0.000013
Epoch 45 — Train Loss: 0.0661, Val Loss: 159.8724, LR: 0.000013
Epoch 46 — Train Loss: 0.0664, Val Loss: 158.2520, LR: 0.000013
Epoch 47 — Train Loss: 0.0661, Val Loss: 160.4263, LR: 0.000013
Epoch 48 — Train Loss: 0.0661, Val Loss: 154.8333, LR: 0.000013
Epoch 49 — Train Loss: 0.0667, Val Loss: 157.5949, LR: 0.000013
Epoch 50 — Train Loss: 0.0662, Val Loss: 156.9352, LR: 0.000013
Epoch 51 — Train Loss: 0.0661, Val Loss: 158.6526, LR: 0.000013
Epoch 52 — Train Loss: 0.0663, Val Loss: 157.4843, LR: 0.000013
Epoch 53 — Train Loss: 0.0661, Val Loss: 157.4390, LR: 0.000013
Epoch 54 — Train Loss: 0.0662, Val Loss: 157.5589, LR: 0.000006
Epoch 55 — Train Loss: 0.0660, Val Loss: 159.7569, LR: 0.000006
Epoch 56 — Train Loss: 0.0660, Val Loss: 156.6308, LR: 0.000006
Epoch 57 — Train Loss: 0.0659, Val Loss: 157.7053, LR: 0.000006
Epoch 58 — Train Loss: 0.0662, Val Loss: 159.2094, LR: 0.000006
Epoch 59 — Train Loss: 0.0661, Val Loss: 160.9375, LR: 0.000006
Epoch 60 — Train Loss: 0.0661, Val Loss: 159.5658, LR: 0.000003
Epoch 61 — Train Loss: 0.0657, Val Loss: 159.0363, LR: 0.000003
Epoch 62 — Train Loss: 0.0659, Val Loss: 157.6689, LR: 0.000003
Epoch 63 — Train Loss: 0.0663, Val Loss: 159.9943, LR: 0.000003
Epoch 64 — Train Loss: 0.0659, Val Loss: 158.5832, LR: 0.000003
Epoch 65 — Train Loss: 0.0658, Val Loss: 157.5592, LR: 0.000003
Epoch 66 — Train Loss: 0.0661, Val Loss: 158.3842, LR: 0.000002
Epoch 67 — Train Loss: 0.0660, Val Loss: 158.4765, LR: 0.000002
Epoch 68 — Train Loss: 0.0659, Val Loss: 158.1593, LR: 0.000002
Epoch 69 — Train Loss: 0.0661, Val Loss: 160.5343, LR: 0.000002
Epoch 70 — Train Loss: 0.0660, Val Loss: 159.1871, LR: 0.000002
Epoch 71 — Train Loss: 0.0660, Val Loss: 154.8724, LR: 0.000002
Epoch 72 — Train Loss: 0.0658, Val Loss: 156.1896, LR: 0.000001
Epoch 73 — Train Loss: 0.0656, Val Loss: 156.7261, LR: 0.000001
Epoch 74 — Train Loss: 0.0661, Val Loss: 157.9692, LR: 0.000001
Epoch 75 — Train Loss: 0.0660, Val Loss: 158.0069, LR: 0.000001
Epoch 76 — Train Loss: 0.0658, Val Loss: 157.6278, LR: 0.000001
Epoch 77 — Train Loss: 0.0659, Val Loss: 159.1272, LR: 0.000001
Epoch 78 — Train Loss: 0.0658, Val Loss: 158.4686, LR: 0.000000
Epoch 79 — Train Loss: 0.0659, Val Loss: 157.1180, LR: 0.000000
Epoch 80 — Train Loss: 0.0658, Val Loss: 156.7345, LR: 0.000000
Epoch 81 — Train Loss: 0.0661, Val Loss: 157.0029, LR: 0.000000
Epoch 82 — Train Loss: 0.0658, Val Loss: 158.1223, LR: 0.000000
Epoch 83 — Train Loss: 0.0659, Val Loss: 158.8294, LR: 0.000000
Epoch 84 — Train Loss: 0.0660, Val Loss: 158.6084, LR: 0.000000
Epoch 85 — Train Loss: 0.0660, Val Loss: 159.1734, LR: 0.000000
Epoch 86 — Train Loss: 0.0657, Val Loss: 156.8145, LR: 0.000000
Epoch 87 — Train Loss: 0.0657, Val Loss: 159.2741, LR: 0.000000
Epoch 88 — Train Loss: 0.0659, Val Loss: 159.8397, LR: 0.000000
Epoch 89 — Train Loss: 0.0659, Val Loss: 158.6399, LR: 0.000000
Epoch 90 — Train Loss: 0.0660, Val Loss: 160.1716, LR: 0.000000
Epoch 91 — Train Loss: 0.0662, Val Loss: 158.7157, LR: 0.000000
Epoch 92 — Train Loss: 0.0660, Val Loss: 159.1109, LR: 0.000000
Epoch 93 — Train Loss: 0.0658, Val Loss: 155.7630, LR: 0.000000
Epoch 94 — Train Loss: 0.0658, Val Loss: 160.6091, LR: 0.000000
Epoch 95 — Train Loss: 0.0657, Val Loss: 162.4641, LR: 0.000000
Epoch 96 — Train Loss: 0.0658, Val Loss: 155.6720, LR: 0.000000
Epoch 97 — Train Loss: 0.0660, Val Loss: 157.4133, LR: 0.000000
Epoch 98 — Train Loss: 0.0657, Val Loss: 157.9772, LR: 0.000000
Epoch 99 — Train Loss: 0.0660, Val Loss: 156.9586, LR: 0.000000
Epoch 100 — Train Loss: 0.0661, Val Loss: 158.9460, LR: 0.000000

model_save_path: savedmodels/MLP_Layers_12_InputDim256_MaxDim_2048_Epochs_100_Batch_32.pth
